MOSTYPECAT MAANTHUI MGEMOMV MGEMLEEF MOSHOOFD MGODRK MGODPR MGODOV MGODGE MRELGE MRELSA MRELOV MFALLEEN MFGEKIND MFWEKIND MOPLHOOG MOPLMIDD MOPLLAAG MBERHOOG MBERZELF MBERBOER MBERMIDD MBERARBG MBERARBO MSKA MSKB1 MSKB2 MSKC MSKD MHHUUR MHKOOP MAUT1 MAUT2 MAUT0 MZFONDS MZPART MINKM30 MINK3045 MINK4575 MINK7512 MINK123M MINKGEM MKOOPKLA PWAPART PWABEDR PWALAND PPERSAUT PBESAUT PMOTSCO PVRAAUT PAANHANG PTRACTOR PWERKT PBROM PLEVEN PPERSONG PGEZONG PWAOREG PBRAND PZEILPL PPLEZIER PFIETS PINBOED PBYSTAND AWAPART AWABEDR AWALAND APERSAUT ABESAUT AMOTSCO AVRAAUT AAANHANG ATRACTOR AWERKT ABROM ALEVEN APERSONG AGEZONG AWAOREG ABRAND AZEILPL APLEZIER AFIETS AINBOED ABYSTAND CARAVAN                                                      
Lower class large families|1|3|30-40 years|Family|0%|5|1|3|7|0|2|1|2|6|1|2|7|1|0|1|2|5|2|1|1|2|6|1|1|8|8|0|1|8|1|0|4|5|0|0|4|100–199|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|5|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
Mixed small town dwellers|1|2|30-40 years|Family|1-10%|4|1|4|6|2|2|0|4|5|0|5|4|0|0|0|5|0|4|0|2|3|5|0|2|7|7|1|2|6|3|2|0|5|2|0|5|200–499|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
Mixed small town dwellers|1|2|30-40 years|Family|0%|4|2|4|3|2|4|4|4|2|0|5|4|0|0|0|7|0|2|0|5|0|4|0|7|2|7|0|2|9|0|4|5|0|0|0|3|200–499|2|0|0|6|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
Modern, complete families|1|3|40-50 years|Average|11-23%|3|2|4|5|2|2|2|3|4|3|4|2|4|0|0|3|1|2|3|2|1|4|0|5|4|9|0|0|7|2|1|5|3|0|0|4|200–499|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
Large family farms|1|4|30-40 years|Farmers|1-10%|4|1|4|7|1|2|2|4|4|5|4|0|0|5|4|0|0|0|9|0|0|0|0|4|5|6|2|1|5|4|0|0|9|0|0|6|100–199|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
Young and rising|1|2|20-30 years|Living|0%|5|0|5|0|6|3|3|5|2|0|5|4|2|0|0|4|2|2|2|2|2|4|2|9|0|5|3|3|9|0|5|2|3|0|0|3|100–199|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Large religous families|2|3|30-40 years|Conservative|11-23%|2|0|5|7|2|0|0|3|6|0|4|5|0|0|0|4|1|5|0|1|4|5|0|6|3|8|0|1|9|0|4|3|3|0|0|3|500–999|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Lower class large families|1|2|40-50 years|Family|0%|7|0|2|7|2|0|0|5|4|0|3|6|2|0|0|2|5|2|2|1|2|5|2|0|9|4|4|2|6|3|2|5|3|0|0|3|100–199|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
Lower class large families|1|2|50-60 years|Family|0%|1|3|6|6|0|3|3|3|3|0|1|8|1|1|0|1|8|1|1|1|0|8|1|9|0|5|2|3|7|2|7|2|1|0|0|2|100–199|0|0|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Family starters|2|3|40-50 years|Average|24-36%|5|0|2|7|0|2|2|2|6|0|4|5|2|0|0|3|3|3|1|2|1|4|2|0|9|6|1|2|6|3|2|3|3|1|0|4|5000–9999|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
